"Time","Found","Snow","Colour","Age","Hobby","Rank","Series","ParticipantID"
8.246,"Yes",FALSE,"Brown",27,"Yes",6,7,8
7.998,"Yes",TRUE,"Grey",27,"Yes",7,7,8
1.736,"Yes",FALSE,"Grey",27,"Yes",8,7,8
4.671,"Yes",TRUE,"Grey",38,"Yes",1,5,9
60,"No",FALSE,"Grey",38,"Yes",2,5,9
3.663,"Yes",TRUE,"Brown",38,"Yes",3,5,9
2.479,"Yes",FALSE,"Brown",38,"Yes",4,5,9
2.541,"Yes",FALSE,"Brown",38,"Yes",5,5,9
3.444,"Yes",TRUE,"Grey",38,"Yes",6,5,9
1.89,"Yes",FALSE,"Grey",38,"Yes",7,5,9
5.383,"Yes",TRUE,"Brown",38,"Yes",8,5,9
1.436,"Yes",TRUE,"Brown",32,"Yes",1,3,10
60,"No",TRUE,"Grey",32,"Yes",2,3,10
2.977,"Yes",FALSE,"Brown",32,"Yes",3,3,10
2.961,"Yes",FALSE,"Grey",32,"Yes",4,3,10
3.073,"Yes",TRUE,"Brown",32,"Yes",5,3,10
1.788,"Yes",FALSE,"Brown",32,"Yes",6,3,10
3.322,"Yes",TRUE,"Grey",32,"Yes",7,3,10
5.757,"Yes",FALSE,"Grey",32,"Yes",8,3,10
4.839,"Yes",FALSE,"Grey",42,"No",1,4,11
3.419,"Yes",TRUE,"Brown",42,"No",2,4,11
5.685,"Yes",TRUE,"Grey",42,"No",3,4,11
60,"No",FALSE,"Brown",42,"No",4,4,11
1.693,"Yes",TRUE,"Brown",42,"No",5,4,11
2.495,"Yes",FALSE,"Grey",42,"No",6,4,11
4.636,"Yes",FALSE,"Brown",42,"No",7,4,11
9.126,"Yes",TRUE,"Grey",42,"No",8,4,11
3.746,"Yes",FALSE,"Grey",39,"Yes",1,8,12
1.925,"Yes",TRUE,"Brown",39,"Yes",2,8,12
2.994,"Yes",TRUE,"Grey",39,"Yes",3,8,12
13.344,"Yes",FALSE,"Brown",39,"Yes",4,8,12
1.943,"Yes",TRUE,"Brown",39,"Yes",5,8,12
4.127,"Yes",FALSE,"Grey",39,"Yes",6,8,12
1.937,"Yes",FALSE,"Brown",39,"Yes",7,8,12
60,"No",TRUE,"Grey",39,"Yes",8,8,12
1.73,"Yes",TRUE,"Grey",25,"Yes",1,5,13
19.93,"Yes",FALSE,"Grey",25,"Yes",2,5,13
2.971,"Yes",TRUE,"Brown",25,"Yes",3,5,13
2.169,"Yes",FALSE,"Brown",25,"Yes",4,5,13
6.122,"Yes",FALSE,"Brown",25,"Yes",5,5,13
7.005,"Yes",TRUE,"Grey",25,"Yes",6,5,13
2.51,"Yes",FALSE,"Grey",25,"Yes",7,5,13
3.513,"Yes",TRUE,"Brown",25,"Yes",8,5,13
2.984,"Yes",FALSE,"Grey",NA,"Yes",1,4,14
30.254,"Yes",TRUE,"Brown",NA,"Yes",2,4,14
3.3,"Yes",TRUE,"Grey",NA,"Yes",3,4,14
60,"No",FALSE,"Brown",NA,"Yes",4,4,14
1.622,"Yes",TRUE,"Brown",NA,"Yes",5,4,14
1.696,"Yes",FALSE,"Grey",NA,"Yes",6,4,14
3.092,"Yes",FALSE,"Brown",NA,"Yes",7,4,14
4.892,"Yes",TRUE,"Grey",NA,"Yes",8,4,14
2.534,"Yes",TRUE,"Brown",41,"No",1,3,15
60,"No",TRUE,"Grey",41,"No",2,3,15
2.616,"Yes",FALSE,"Brown",41,"No",3,3,15
4.488,"Yes",FALSE,"Grey",41,"No",4,3,15
3.892,"Yes",TRUE,"Brown",41,"No",5,3,15
2.588,"Yes",FALSE,"Brown",41,"No",6,3,15
3.482,"Yes",TRUE,"Grey",41,"No",7,3,15
2.29,"Yes",FALSE,"Grey",41,"No",8,3,15
1.665,"Yes",TRUE,"Grey",38,"No",1,2,16
3.445,"Yes",FALSE,"Brown",38,"No",2,2,16
3.193,"Yes",FALSE,"Grey",38,"No",3,2,16
1.893,"Yes",TRUE,"Brown",38,"No",4,2,16
23.59,"Yes",FALSE,"Brown",38,"No",5,2,16
60,"No",TRUE,"Grey",38,"No",6,2,16
7.324,"Yes",TRUE,"Brown",38,"No",7,2,16
57.636,"Yes",FALSE,"Grey",38,"No",8,2,16
4.491,"Yes",FALSE,"Grey",48,"Yes",1,4,17
3.401,"Yes",TRUE,"Brown",48,"Yes",2,4,17
2.904,"Yes",TRUE,"Grey",48,"Yes",3,4,17
60,"No",FALSE,"Brown",48,"Yes",4,4,17
1.356,"Yes",TRUE,"Brown",48,"Yes",5,4,17
1.389,"Yes",FALSE,"Grey",48,"Yes",6,4,17
3.902,"Yes",FALSE,"Brown",48,"Yes",7,4,17
4.621,"Yes",TRUE,"Grey",48,"Yes",8,4,17
5.86,"Yes",TRUE,"Brown",37,"Yes",1,7,18
2.093,"Yes",TRUE,"Grey",37,"Yes",2,7,18
1.519,"Yes",FALSE,"Brown",37,"Yes",3,7,18
4.351,"Yes",FALSE,"Grey",37,"Yes",4,7,18
2.139,"Yes",TRUE,"Brown",37,"Yes",5,7,18
21.188,"Yes",FALSE,"Brown",37,"Yes",6,7,18
2.259,"Yes",TRUE,"Grey",37,"Yes",7,7,18
1.533,"Yes",FALSE,"Grey",37,"Yes",8,7,18
7.269,"Yes",FALSE,"Grey",57,"No",1,8,19
6.81,"Yes",TRUE,"Brown",57,"No",2,8,19
34.051,"Yes",TRUE,"Grey",57,"No",3,8,19
60,"No",FALSE,"Brown",57,"No",4,8,19
2.313,"Yes",TRUE,"Brown",57,"No",5,8,19
5.515,"Yes",FALSE,"Grey",57,"No",6,8,19
2.788,"Yes",FALSE,"Brown",57,"No",7,8,19
60,"No",TRUE,"Grey",57,"No",8,8,19
8.306,"Yes",TRUE,"Brown",41,"No",1,7,20
17.775,"Yes",TRUE,"Grey",41,"No",2,7,20
7.426,"Yes",FALSE,"Brown",41,"No",3,7,20
11.321,"Yes",FALSE,"Grey",41,"No",4,7,20
2.501,"Yes",TRUE,"Brown",41,"No",5,7,20
27.231,"Yes",FALSE,"Brown",41,"No",6,7,20
3.755,"Yes",TRUE,"Grey",41,"No",7,7,20
2.03,"Yes",FALSE,"Grey",41,"No",8,7,20
5.144,"Yes",TRUE,"Grey",32,"Yes",1,6,21
2.826,"Yes",FALSE,"Brown",32,"Yes",2,6,21
3.362,"Yes",FALSE,"Grey",32,"Yes",3,6,21
2.626,"Yes",TRUE,"Brown",32,"Yes",4,6,21
2.688,"Yes",FALSE,"Brown",32,"Yes",5,6,21
1.792,"Yes",TRUE,"Grey",32,"Yes",6,6,21
3.392,"Yes",TRUE,"Brown",32,"Yes",7,6,21
29.866,"Yes",FALSE,"Grey",32,"Yes",8,6,21
1.812,"Yes",TRUE,"Brown",43,"No",1,3,22
60,"No",TRUE,"Grey",43,"No",2,3,22
1.981,"Yes",FALSE,"Brown",43,"No",3,3,22
2.498,"Yes",FALSE,"Grey",43,"No",4,3,22
8.504,"Yes",TRUE,"Brown",43,"No",5,3,22
2.28,"Yes",FALSE,"Brown",43,"No",6,3,22
6.048,"Yes",TRUE,"Grey",43,"No",7,3,22
5.358,"Yes",FALSE,"Grey",43,"No",8,3,22
4.689,"Yes",TRUE,"Grey",40,"No",1,5,23
2.584,"Yes",FALSE,"Grey",40,"No",2,5,23
2.394,"Yes",TRUE,"Brown",40,"No",3,5,23
2.219,"Yes",FALSE,"Brown",40,"No",4,5,23
3.229,"Yes",FALSE,"Brown",40,"No",5,5,23
3.681,"Yes",TRUE,"Grey",40,"No",6,5,23
2.027,"Yes",FALSE,"Grey",40,"No",7,5,23
2.519,"Yes",TRUE,"Brown",40,"No",8,5,23
3.25,"Yes",TRUE,"Brown",31,"No",1,7,24
29.558,"Yes",TRUE,"Grey",31,"No",2,7,24
1.952,"Yes",FALSE,"Brown",31,"No",3,7,24
32.758,"Yes",FALSE,"Grey",31,"No",4,7,24
2.246,"Yes",TRUE,"Brown",31,"No",5,7,24
6.804,"Yes",FALSE,"Brown",31,"No",6,7,24
2.454,"Yes",TRUE,"Grey",31,"No",7,7,24
5.53,"Yes",FALSE,"Grey",31,"No",8,7,24
7.948,"Yes",FALSE,"Grey",33,"No",1,8,25
2.265,"Yes",TRUE,"Brown",33,"No",2,8,25
13.624,"Yes",TRUE,"Grey",33,"No",3,8,25
26.435,"Yes",FALSE,"Brown",33,"No",4,8,25
1.997,"Yes",TRUE,"Brown",33,"No",5,8,25
4.945,"Yes",FALSE,"Grey",33,"No",6,8,25
3.032,"Yes",FALSE,"Brown",33,"No",7,8,25
60,"No",TRUE,"Grey",33,"No",8,8,25
15.709,"Yes",TRUE,"Grey",72,"Yes",1,6,26
15.618,"Yes",FALSE,"Brown",72,"Yes",2,6,26
2.894,"Yes",FALSE,"Grey",72,"Yes",3,6,26
60,"No",TRUE,"Brown",72,"Yes",4,6,26
52.185,"Yes",FALSE,"Brown",72,"Yes",5,6,26
60,"No",TRUE,"Grey",72,"Yes",6,6,26
3.146,"Yes",TRUE,"Brown",72,"Yes",7,6,26
60,"No",FALSE,"Grey",72,"Yes",8,6,26
4.364,"Yes",TRUE,"Brown",40,"No",1,7,27
18.879,"Yes",TRUE,"Grey",40,"No",2,7,27
9.126,"Yes",FALSE,"Brown",40,"No",3,7,27
7.47,"Yes",FALSE,"Grey",40,"No",4,7,27
2.605,"Yes",TRUE,"Brown",40,"No",5,7,27
55.581,"Yes",FALSE,"Brown",40,"No",6,7,27
5.211,"Yes",TRUE,"Grey",40,"No",7,7,27
4.694,"Yes",FALSE,"Grey",40,"No",8,7,27
2.908,"Yes",TRUE,"Brown",52,"No",1,3,28
60,"No",TRUE,"Grey",52,"No",2,3,28
3.214,"Yes",FALSE,"Brown",52,"No",3,3,28
3.575,"Yes",FALSE,"Grey",52,"No",4,3,28
3.702,"Yes",TRUE,"Brown",52,"No",5,3,28
2.775,"Yes",FALSE,"Brown",52,"No",6,3,28
3.714,"Yes",TRUE,"Grey",52,"No",7,3,28
3.211,"Yes",FALSE,"Grey",52,"No",8,3,28
3.852,"Yes",FALSE,"Grey",28,"Yes",1,4,29
4.742,"Yes",TRUE,"Brown",28,"Yes",2,4,29
4.788,"Yes",TRUE,"Grey",28,"Yes",3,4,29
12.703,"Yes",FALSE,"Brown",28,"Yes",4,4,29
1.527,"Yes",TRUE,"Brown",28,"Yes",5,4,29
1.706,"Yes",FALSE,"Grey",28,"Yes",6,4,29
5.129,"Yes",FALSE,"Brown",28,"Yes",7,4,29
26.044,"Yes",TRUE,"Grey",28,"Yes",8,4,29
6.876,"Yes",TRUE,"Brown",71,"Yes",1,3,30
60,"No",TRUE,"Grey",71,"Yes",2,3,30
2.045,"Yes",FALSE,"Brown",71,"Yes",3,3,30
5.506,"Yes",FALSE,"Grey",71,"Yes",4,3,30
5.115,"Yes",TRUE,"Brown",71,"Yes",5,3,30
12.02,"Yes",FALSE,"Brown",71,"Yes",6,3,30
4.798,"Yes",TRUE,"Grey",71,"Yes",7,3,30
2.926,"Yes",FALSE,"Grey",71,"Yes",8,3,30
2.554,"Yes",TRUE,"Brown",38,"Yes",1,3,31
60,"No",TRUE,"Grey",38,"Yes",2,3,31
3.077,"Yes",FALSE,"Brown",38,"Yes",3,3,31
6.289,"Yes",FALSE,"Grey",38,"Yes",4,3,31
3.439,"Yes",TRUE,"Brown",38,"Yes",5,3,31
5.395,"Yes",FALSE,"Brown",38,"Yes",6,3,31
2.255,"Yes",TRUE,"Grey",38,"Yes",7,3,31
4.127,"Yes",FALSE,"Grey",38,"Yes",8,3,31
2.079,"Yes",TRUE,"Brown",31,"No",1,3,32
60,"No",TRUE,"Grey",31,"No",2,3,32
1.199,"Yes",FALSE,"Brown",31,"No",3,3,32
1.812,"Yes",FALSE,"Grey",31,"No",4,3,32
3.188,"Yes",TRUE,"Brown",31,"No",5,3,32
1.627,"Yes",FALSE,"Brown",31,"No",6,3,32
2.225,"Yes",TRUE,"Grey",31,"No",7,3,32
1.997,"Yes",FALSE,"Grey",31,"No",8,3,32
4.541,"Yes",FALSE,"Grey",73,"Yes",1,4,33
60,"No",TRUE,"Brown",73,"Yes",2,4,33
27.035,"Yes",TRUE,"Grey",73,"Yes",3,4,33
60,"No",FALSE,"Brown",73,"Yes",4,4,33
19.923,"Yes",TRUE,"Brown",73,"Yes",5,4,33
3.624,"Yes",FALSE,"Grey",73,"Yes",6,4,33
9.577,"Yes",FALSE,"Brown",73,"Yes",7,4,33
60,"No",TRUE,"Grey",73,"Yes",8,4,33
4.072,"Yes",TRUE,"Grey",59,"Yes",1,2,34
1.825,"Yes",FALSE,"Brown",59,"Yes",2,2,34
6.193,"Yes",FALSE,"Grey",59,"Yes",3,2,34
2.995,"Yes",TRUE,"Brown",59,"Yes",4,2,34
4.368,"Yes",FALSE,"Brown",59,"Yes",5,2,34
26.006,"Yes",TRUE,"Grey",59,"Yes",6,2,34
7.436,"Yes",TRUE,"Brown",59,"Yes",7,2,34
60,"No",FALSE,"Grey",59,"Yes",8,2,34
15.946,"Yes",TRUE,"Brown",39,"Yes",1,7,35
3.404,"Yes",TRUE,"Grey",39,"Yes",2,7,35
5.3,"Yes",FALSE,"Brown",39,"Yes",3,7,35
2.708,"Yes",FALSE,"Grey",39,"Yes",4,7,35
4.064,"Yes",TRUE,"Brown",39,"Yes",5,7,35
44.62,"Yes",FALSE,"Brown",39,"Yes",6,7,35
9.078,"Yes",TRUE,"Grey",39,"Yes",7,7,35
4.604,"Yes",FALSE,"Grey",39,"Yes",8,7,35
2.978,"Yes",FALSE,"Grey",14,"Yes",1,8,36
3.127,"Yes",TRUE,"Brown",14,"Yes",2,8,36
13.566,"Yes",TRUE,"Grey",14,"Yes",3,8,36
4.744,"Yes",FALSE,"Brown",14,"Yes",4,8,36
1.532,"Yes",TRUE,"Brown",14,"Yes",5,8,36
2.064,"Yes",FALSE,"Grey",14,"Yes",6,8,36
5.388,"Yes",FALSE,"Brown",14,"Yes",7,8,36
60,"No",TRUE,"Grey",14,"Yes",8,8,36
52.054,"Yes",FALSE,"Grey",NA,"Yes",1,4,37
60,"No",TRUE,"Brown",NA,"Yes",2,4,37
11.744,"Yes",TRUE,"Grey",NA,"Yes",3,4,37
60,"No",FALSE,"Brown",NA,"Yes",4,4,37
2.71,"Yes",TRUE,"Brown",NA,"Yes",5,4,37
10.95,"Yes",FALSE,"Grey",NA,"Yes",6,4,37
15.598,"Yes",FALSE,"Brown",NA,"Yes",7,4,37
38.958,"Yes",TRUE,"Grey",NA,"Yes",8,4,37
12.622,"Yes",TRUE,"Brown",59,"Yes",1,7,38
3.653,"Yes",TRUE,"Grey",59,"Yes",2,7,38
1.99,"Yes",FALSE,"Brown",59,"Yes",3,7,38
6.538,"Yes",FALSE,"Grey",59,"Yes",4,7,38
2.575,"Yes",TRUE,"Brown",59,"Yes",5,7,38
9.519,"Yes",FALSE,"Brown",59,"Yes",6,7,38
7.178,"Yes",TRUE,"Grey",59,"Yes",7,7,38
3.491,"Yes",FALSE,"Grey",59,"Yes",8,7,38
2.132,"Yes",TRUE,"Grey",53,"Yes",1,5,39
60,"No",FALSE,"Grey",53,"Yes",2,5,39
2.422,"Yes",TRUE,"Brown",53,"Yes",3,5,39
3.214,"Yes",FALSE,"Brown",53,"Yes",4,5,39
1.748,"Yes",FALSE,"Brown",53,"Yes",5,5,39
19.848,"Yes",TRUE,"Grey",53,"Yes",6,5,39
1.738,"Yes",FALSE,"Grey",53,"Yes",7,5,39
5.694,"Yes",TRUE,"Brown",53,"Yes",8,5,39
2.916,"Yes",FALSE,"Grey",37,"Yes",1,4,40
4.976,"Yes",TRUE,"Brown",37,"Yes",2,4,40
8.2,"Yes",TRUE,"Grey",37,"Yes",3,4,40
60,"No",FALSE,"Brown",37,"Yes",4,4,40
2.453,"Yes",TRUE,"Brown",37,"Yes",5,4,40
3.486,"Yes",FALSE,"Grey",37,"Yes",6,4,40
5.732,"Yes",FALSE,"Brown",37,"Yes",7,4,40
19.872,"Yes",TRUE,"Grey",37,"Yes",8,4,40
2.957,"Yes",TRUE,"Brown",53,"Yes",1,3,41
60,"No",TRUE,"Grey",53,"Yes",2,3,41
3.522,"Yes",FALSE,"Brown",53,"Yes",3,3,41
7.772,"Yes",FALSE,"Grey",53,"Yes",4,3,41
4.627,"Yes",TRUE,"Brown",53,"Yes",5,3,41
8.395,"Yes",FALSE,"Brown",53,"Yes",6,3,41
3.385,"Yes",TRUE,"Grey",53,"Yes",7,3,41
2.061,"Yes",FALSE,"Grey",53,"Yes",8,3,41
1.791,"Yes",TRUE,"Brown",59,"Yes",1,3,42
60,"No",TRUE,"Grey",59,"Yes",2,3,42
1.839,"Yes",FALSE,"Brown",59,"Yes",3,3,42
2.318,"Yes",FALSE,"Grey",59,"Yes",4,3,42
3.17,"Yes",TRUE,"Brown",59,"Yes",5,3,42
4.27,"Yes",FALSE,"Brown",59,"Yes",6,3,42
3.748,"Yes",TRUE,"Grey",59,"Yes",7,3,42
10.478,"Yes",FALSE,"Grey",59,"Yes",8,3,42
6.627,"Yes",FALSE,"Grey",63,"Yes",1,4,43
60,"No",TRUE,"Brown",63,"Yes",2,4,43
9.602,"Yes",TRUE,"Grey",63,"Yes",3,4,43
60,"No",FALSE,"Brown",63,"Yes",4,4,43
2.31,"Yes",TRUE,"Brown",63,"Yes",5,4,43
8.223,"Yes",FALSE,"Grey",63,"Yes",6,4,43
5.43,"Yes",FALSE,"Brown",63,"Yes",7,4,43
3.221,"Yes",TRUE,"Grey",63,"Yes",8,4,43
4.704,"Yes",TRUE,"Brown",61,"Yes",1,3,44
60,"No",TRUE,"Grey",61,"Yes",2,3,44
2.986,"Yes",FALSE,"Brown",61,"Yes",3,3,44
3.198,"Yes",FALSE,"Grey",61,"Yes",4,3,44
5.04,"Yes",TRUE,"Brown",61,"Yes",5,3,44
38.708,"Yes",FALSE,"Brown",61,"Yes",6,3,44
4.564,"Yes",TRUE,"Grey",61,"Yes",7,3,44
2.986,"Yes",FALSE,"Grey",61,"Yes",8,3,44
1.957,"Yes",TRUE,"Grey",25,"No",1,2,45
3.618,"Yes",FALSE,"Brown",25,"No",2,2,45
2.193,"Yes",FALSE,"Grey",25,"No",3,2,45
6.668,"Yes",TRUE,"Brown",25,"No",4,2,45
2.036,"Yes",FALSE,"Brown",25,"No",5,2,45
60,"No",TRUE,"Grey",25,"No",6,2,45
3.921,"Yes",TRUE,"Brown",25,"No",7,2,45
60,"No",FALSE,"Grey",25,"No",8,2,45
8.409,"Yes",TRUE,"Grey",42,"Yes",1,1,46
19.292,"Yes",FALSE,"Grey",42,"Yes",2,1,46
3.175,"Yes",TRUE,"Brown",42,"Yes",3,1,46
7.741,"Yes",FALSE,"Brown",42,"Yes",4,1,46
3.612,"Yes",FALSE,"Brown",42,"Yes",5,1,46
7.283,"Yes",TRUE,"Grey",42,"Yes",6,1,46
2.582,"Yes",FALSE,"Grey",42,"Yes",7,1,46
60,"No",TRUE,"Brown",42,"Yes",8,1,46
3.467,"Yes",TRUE,"Brown",49,"No",1,3,47
60,"No",TRUE,"Grey",49,"No",2,3,47
32.729,"Yes",FALSE,"Brown",49,"No",3,3,47
60,"No",FALSE,"Grey",49,"No",4,3,47
60,"No",TRUE,"Brown",49,"No",5,3,47
60,"No",FALSE,"Brown",49,"No",6,3,47
60,"No",TRUE,"Grey",49,"No",7,3,47
8.795,"Yes",FALSE,"Grey",49,"No",8,3,47
3.642,"Yes",FALSE,"Grey",35,"No",1,4,48
3.166,"Yes",TRUE,"Brown",35,"No",2,4,48
4.222,"Yes",TRUE,"Grey",35,"No",3,4,48
60,"No",FALSE,"Brown",35,"No",4,4,48
2.906,"Yes",TRUE,"Brown",35,"No",5,4,48
2.052,"Yes",FALSE,"Grey",35,"No",6,4,48
2.834,"Yes",FALSE,"Brown",35,"No",7,4,48
2.88,"Yes",TRUE,"Grey",35,"No",8,4,48
10.314,"Yes",FALSE,"Grey",37,"Yes",1,4,49
60,"No",TRUE,"Brown",37,"Yes",2,4,49
5.214,"Yes",TRUE,"Grey",37,"Yes",3,4,49
60,"No",FALSE,"Brown",37,"Yes",4,4,49
1.484,"Yes",TRUE,"Brown",37,"Yes",5,4,49
4.294,"Yes",FALSE,"Grey",37,"Yes",6,4,49
3.625,"Yes",FALSE,"Brown",37,"Yes",7,4,49
4.631,"Yes",TRUE,"Grey",37,"Yes",8,4,49
7.963,"Yes",TRUE,"Brown",39,"No",1,7,50
5.986,"Yes",TRUE,"Grey",39,"No",2,7,50
3.573,"Yes",FALSE,"Brown",39,"No",3,7,50
27.789,"Yes",FALSE,"Grey",39,"No",4,7,50
2.953,"Yes",TRUE,"Brown",39,"No",5,7,50
3.825,"Yes",FALSE,"Brown",39,"No",6,7,50
3.717,"Yes",TRUE,"Grey",39,"No",7,7,50
2.321,"Yes",FALSE,"Grey",39,"No",8,7,50
5.527,"Yes",TRUE,"Grey",37,"Yes",1,1,51
38.511,"Yes",FALSE,"Grey",37,"Yes",2,1,51
6.094,"Yes",TRUE,"Brown",37,"Yes",3,1,51
2.562,"Yes",FALSE,"Brown",37,"Yes",4,1,51
3.627,"Yes",FALSE,"Brown",37,"Yes",5,1,51
2.361,"Yes",TRUE,"Grey",37,"Yes",6,1,51
4.695,"Yes",FALSE,"Grey",37,"Yes",7,1,51
60,"No",TRUE,"Brown",37,"Yes",8,1,51
1.842,"Yes",TRUE,"Grey",66,"Yes",1,5,52
60,"No",FALSE,"Grey",66,"Yes",2,5,52
2.836,"Yes",TRUE,"Brown",66,"Yes",3,5,52
3.175,"Yes",FALSE,"Brown",66,"Yes",4,5,52
5.878,"Yes",FALSE,"Brown",66,"Yes",5,5,52
20.92,"Yes",TRUE,"Grey",66,"Yes",6,5,52
6.695,"Yes",FALSE,"Grey",66,"Yes",7,5,52
31.874,"Yes",TRUE,"Brown",66,"Yes",8,5,52
2.4,"Yes",TRUE,"Brown",25,"Yes",1,3,53
60,"No",TRUE,"Grey",25,"Yes",2,3,53
2.112,"Yes",FALSE,"Brown",25,"Yes",3,3,53
6.088,"Yes",FALSE,"Grey",25,"Yes",4,3,53
8.001,"Yes",TRUE,"Brown",25,"Yes",5,3,53
6.936,"Yes",FALSE,"Brown",25,"Yes",6,3,53
2.882,"Yes",TRUE,"Grey",25,"Yes",7,3,53
4.961,"Yes",FALSE,"Grey",25,"Yes",8,3,53
8.006,"Yes",FALSE,"Grey",74,"Yes",1,8,54
4.406,"Yes",TRUE,"Brown",74,"Yes",2,8,54
19.752,"Yes",TRUE,"Grey",74,"Yes",3,8,54
60,"No",FALSE,"Brown",74,"Yes",4,8,54
3.89,"Yes",TRUE,"Brown",74,"Yes",5,8,54
5.609,"Yes",FALSE,"Grey",74,"Yes",6,8,54
2.78,"Yes",FALSE,"Brown",74,"Yes",7,8,54
60,"No",TRUE,"Grey",74,"Yes",8,8,54
2.53,"Yes",TRUE,"Grey",62,"Yes",1,5,55
7.983,"Yes",FALSE,"Grey",62,"Yes",2,5,55
4.683,"Yes",TRUE,"Brown",62,"Yes",3,5,55
2.527,"Yes",FALSE,"Brown",62,"Yes",4,5,55
2.328,"Yes",FALSE,"Brown",62,"Yes",5,5,55
6.291,"Yes",TRUE,"Grey",62,"Yes",6,5,55
2.216,"Yes",FALSE,"Grey",62,"Yes",7,5,55
3.93,"Yes",TRUE,"Brown",62,"Yes",8,5,55
2.736,"Yes",TRUE,"Grey",63,"Yes",1,5,56
60,"No",FALSE,"Grey",63,"Yes",2,5,56
11.336,"Yes",TRUE,"Brown",63,"Yes",3,5,56
3.122,"Yes",FALSE,"Brown",63,"Yes",4,5,56
4.683,"Yes",FALSE,"Brown",63,"Yes",5,5,56
8.512,"Yes",TRUE,"Grey",63,"Yes",6,5,56
26.569,"Yes",FALSE,"Grey",63,"Yes",7,5,56
3.235,"Yes",TRUE,"Brown",63,"Yes",8,5,56
2.298,"Yes",FALSE,"Grey",24,"Yes",1,8,57
3.222,"Yes",TRUE,"Brown",24,"Yes",2,8,57
2.002,"Yes",TRUE,"Grey",24,"Yes",3,8,57
