brood;individual;body mass;site
2020050;14122AD;116.185026248679;S 14
2020050;19035AD;100.471768339127;S 34
2020050;17714AD;109.57996087514;S 45
2020051;15071AD;89.2520500999418;S 10
2020051;12701AD;86.5891059572438;S 23
2020051;11908AD;90.7976471899419;S 40
2020051;19880AD;98.8628381050989;S 11
2020051;17816AD;82.5346565448563;S 18
2020051;11841AD;96.0498610621777;S 26
2020051;12340AD;100.381562049139;S 25
2020051;10836AD;84.9126921257869;S 37
2020052;15749AD;106.981783943702;S 32
2020052;17644AD;95.207018530316;S 42
2020052;12269AD;109.881368638003;S 18
2020052;10244AD;116.573500253978;S 39
2020052;15076AD;113.285849684781;S 15
2020052;17137AD;128.211239226717;S 34
2020052;15211AD;97.7691708966555;S 37
2020052;19690AD;121.999804339851;S 11
2020053;19189AD;119.972039612883;S 47
2020053;12377AD;99.329997288553;S 42
2020053;17189AD;101.13607882838;S 37
2020053;18301AD;119.227520643416;S 25
2020053;10254AD;115.898056194427;S 10
2020053;13029AD;107.108211203296;S 25
2020053;16731AD;118.81162974773;S 15
2020053;18834AD;101.424590716289;S 12
2020054;16086AD;118.126132738997;S 45
2020054;14196AD;109.857408096844;S 47
2020054;19936AD;121.184358339458;S 21
2020054;15287AD;108.064412925176;S 39
2020054;18874AD;107.581956627491;S 41
2020054;14622AD;114.312656818866;S 41
2020054;14103AD;132.065252204493;S 44
2020054;17453AD;108.281843687724;S 29
2020055;18351AD;107.241681338408;S 31
2020055;18257AD;108.197880194437;S 36
2020055;18567AD;132.806536026072;S 21
2020055;19509AD;124.283366151645;S 10
2020055;10862AD;112.684819644241;S 13
2020055;10371AD;122.190234694501;S 22
2020055;16251AD;107.581463437106;S 14
2020055;19644AD;107.558453130437;S 44
2020055;15991AD;111.045616710208;S 11
2020055;18803AD;106.107332479261;S 33
2020056;16846AD;109.313622657219;S 39
2020056;19046AD;109.955744198238;S 17
2020056;14612AD;111.277784543189;S 45
2020056;17514AD;123.586428534853;S 45
2020056;12356AD;135.313136600776;S 47
2020056;16666AD;128.129957083745;S 11
2020056;15974AD;125.976263308312;S 40
2020056;19120AD;117.360764277035;S 38
2020056;12211AD;121.027862633018;S 16
2020057;13760AD;78.7436801895453;S 12
2020057;12034AD;77.5533334230914;S 27
2020057;12624AD;81.9244817518503;S 48
2020057;12780AD;99.5901452419361;S 26
2020057;14812AD;78.5904700891645;S 30
2020057;10627AD;77.130171966352;S 11
2020057;18570AD;91.7168542823265;S 41
2020057;10401AD;83.6875485754644;S 35
2020058;12705AD;58.6129328116829;S 38
2020058;17801AD;53.2594428460639;S 39
2020058;19584AD;46.7064372079064;S 21
2020058;17212AD;73.2386605472403;S 41
2020058;16336AD;79.7794803111572;S 29
2020058;10136AD;75.6277368631066;S 22
2020058;16270AD;76.7639853213767;S 36
2020058;14323AD;57.3303061885481;S 42
2020059;15369AD;149.704924274067;S 44
2020059;10157AD;141.403053795475;S 30
2020059;13991AD;148.908362213699;S 30
2020059;14553AD;124.36378752134;S 17
2020059;18955AD;131.213456982976;S 27
2020059;16991AD;142.999037531575;S 29
2020059;16628AD;136.58152451219;S 22
2020059;16897AD;147.447903894068;S 12
2020060;17973AD;63.3523913063927;S 27
2020060;10835AD;64.7816289078273;S 11
2020060;18431AD;82.6191813416485;S 13
2020060;14001AD;75.7934710867384;S 26
2020060;16377AD;76.9141829005378;S 41
2020060;18583AD;79.8883091752973;S 26
2020060;15460AD;70.7145696024116;S 49
2020060;19574AD;72.5220199806521;S 41
2020060;11212AD;57.4289239609585;S 21
2020061;18084AD;121.092827892687;S 48
2020061;14735AD;129.574268926395;S 13
2020061;19599AD;110.063688621017;S 34
2020061;17997AD;104.638074961054;S 36
2020061;12166AD;120.743825492792;S 43
2020061;19078AD;103.314445682122;S 17
2020061;13573AD;96.3455426654374;S 33
2020062;11059AD;117.518381296517;S 47
2020062;13641AD;137.504316203626;S 26
2020062;14452AD;115.269398410706;S 22
2020062;11375AD;133.650565214466;S 31
2020062;18542AD;124.482577867451;S 45
2020062;13062AD;102.286445528414;S 18
2020063;10991AD;77.4831384321957;S 47
2020063;18437AD;97.6715709608689;S 49
2020063;12899AD;98.85523066683;S 30
2020063;13539AD;87.0010314359718;S 30
2020063;13692AD;69.4238847133753;S 18
2020063;14587AD;100.105809405598;S 37
2020063;16141AD;78.262948385282;S 46
2020063;15655AD;85.0922173449467;S 22
2020063;19260AD;89.9207766549185;S 37
2020064;16848AD;145.020204122327;S 23
2020064;17909AD;146.544698665484;S 13
2020064;19544AD;154.251557502577;S 14
2020064;16706AD;149.636861607896;S 20
2020064;14852AD;132.888859792224;S 22
2020064;17739AD;134.336769900581;S 40
2020064;17796AD;156.976519973067;S 12
2020064;15888AD;146.010690665065;S 26
2020064;10832AD;168.860467060617;S 47
2020065;17177AD;98.1838317526975;S 28
2020065;15433AD;68.3905568980728;S 24
2020065;17391AD;71.9434586699735;S 40
2020065;10601AD;82.6189515485857;S 26
2020065;15208AD;114.625370197694;S 35
2020065;15766AD;58.2808830875661;S 33
2020066;13467AD;124.190937765;S 44
2020066;11888AD;120.503784016181;S 30
2020066;18168AD;112.179193688907;S 37
2020066;18789AD;107.247400814865;S 37
2020066;17293AD;117.800440931213;S 30
2020066;15599AD;114.489643041902;S 34
2020066;10608AD;119.489170833248;S 37
2020067;17652AD;89.1247327060003;S 37
2020067;13846AD;101.408621687633;S 47
2020067;18631AD;118.910168998513;S 11
2020067;13992AD;101.066096134681;S 23
2020067;17615AD;103.364140281294;S 37
2020067;15723AD;110.686486703303;S 36
2020067;11239AD;99.4594967048279;S 22
2020067;19292AD;102.722830692948;S 26
2020067;18742AD;92.7758739880644;S 46
2020068;15429AD;123.967204097042;S 35
2020068;12444AD;123.170303262905;S 16
2020068;12957AD;137.999145486563;S 24
2020068;11164AD;117.94660707887;S 11
2020068;16876AD;121.308167086059;S 25
2020068;17149AD;116.252971548962;S 37
2020069;12106AD;133.101021995795;S 30
2020069;14450AD;118.126529500792;S 45
2020069;17865AD;119.861372891823;S 43
2020070;15903AD;113.52196378855;S 19
2020070;10799AD;124.405385138296;S 31
2020070;18578AD;125.924058140026;S 45
2020070;16376AD;93.2116729905517;S 24
2020070;19074AD;108.190147197078;S 10
2020071;18961AD;95.4643241309058;S 39
2020071;15476AD;97.4367311734788;S 23
2020071;15294AD;95.2452348054966;S 32
2020071;15704AD;109.217148939179;S 10
2020071;14440AD;117.11713007737;S 10
2020071;12882AD;104.590579156701;S 24
2020071;10269AD;88.6909822519679;S 35
2020071;17218AD;74.1890568921434;S 18
2020071;15681AD;88.9406141539937;S 13
2020072;13884AD;89.2031523508479;S 22
2020072;18258AD;108.759313472852;S 22
2020072;15652AD;93.7934104409841;S 47
2020072;13937AD;109.749858514602;S 11
2020072;11513AD;88.0722423661403;S 20
2020073;17606AD;84.6303804934735;S 13
2020073;13327AD;96.8088699772048;S 22
2020073;15688AD;89.2158919546968;S 18
2020073;15322AD;83.2483685251162;S 46
2020073;14901AD;92.7935743886955;S 30
2020073;19521AD;90.1181577008208;S 33
2020073;14011AD;92.0897581222026;S 22
2020073;12965AD;92.7059966986365;S 40
2020074;17160AD;97.7339494917947;S 18
2020074;12756AD;99.2902311331011;S 39
2020074;15086AD;94.784769585981;S 20
2020074;11482AD;102.394812770986;S 13
2020074;13050AD;95.85106193246;S 39
2020074;15139AD;87.6322131905178;S 33
2020074;10586AD;75.2906053544004;S 22
2020075;19821AD;106.105434146255;S 48
2020075;18703AD;89.0163589636606;S 16
2020075;14448AD;93.1535131501818;S 32
2020075;14951AD;82.1205755151722;S 21
2020075;13548AD;94.5442086402142;S 37
2020075;15539AD;101.285484501534;S 44
2020076;14126AD;82.2870427546421;S 49
2020076;15216AD;90.7535081832234;S 24
2020076;14774AD;92.4620455993374;S 42
2020076;18067AD;89.6104940495237;S 21
2020076;11584AD;75.089643617402;S 31
2020076;12139AD;83.1575596757787;S 16
2020076;19017AD;98.1666625200307;S 19
2020076;17992AD;102.436394502238;S 11
2020076;10711AD;79.2173509501013;S 27
2020076;11507AD;83.2406036092178;S 39
2020077;18274AD;106.503562778096;S 42
2020077;10435AD;84.6772679422169;S 27
2020077;16475AD;91.7663858154012;S 31
2020077;12353AD;91.496567351174;S 19
2020077;19995AD;83.5015583702373;S 41
2020077;18864AD;102.094708138885;S 38
2020077;18120AD;84.8380907873018;S 28
2020077;15345AD;99.2195820389358;S 47
2020077;13490AD;85.6352843547499;S 11
2020078;18012AD;101.961289481045;S 22
2020078;12898AD;95.8774117873987;S 10
2020078;16126AD;107.53255581369;S 28
2020078;18383AD;114.579641842675;S 16
2020078;12931AD;110.982323309598;S 14
2020078;16350AD;110.100360608065;S 41
2020078;17782AD;94.4990655261119;S 29
2020078;12652AD;110.125222662137;S 21
2020079;13960AD;141.07069776963;S 22
2020079;17305AD;121.160005815725;S 18
2020079;14685AD;122.238947493599;S 23
2020079;12090AD;118.150281867826;S 35
2020079;15574AD;112.656970775641;S 45
2020079;18464AD;130.645819657551;S 49
2020079;19504AD;128.355126645477;S 13
2020080;15537AD;93.9866894961277;S 35
2020080;11945AD;89.4264831527451;S 25
2020080;14015AD;95.5264823984959;S 10
2020080;18792AD;110.818324382519;S 44
2020080;19665AD;95.8844812847262;S 15
2020080;18887AD;90.9442693240852;S 31
2020080;10986AD;91.2024086958511;S 26
2020080;13375AD;75.3493087320944;S 12
2020081;19185AD;86.6660581014957;S 35
2020081;14444AD;109.155020519995;S 24
2020081;16375AD;94.3950761105008;S 45
2020081;17068AD;81.9779465213156;S 24
2020081;11771AD;104.592589624137;S 27
2020081;12070AD;96.282297071051;S 34
2020081;17216AD;85.0803111057805;S 28
2020082;18239AD;89.8941512898819;S 45
2020082;14251AD;96.4588339481256;S 12
2020082;17368AD;95.8605134841638;S 26
2020082;17995AD;88.2486619756733;S 31
2020082;12932AD;102.484276898574;S 36
2020082;13876AD;83.0593230929556;S 45
2020082;13996AD;80.9148288127843;S 37
2020082;18943AD;112.864725453095;S 44
2020082;14258AD;87.1454881500219;S 25
2020083;13246AD;88.7240926141292;S 25
2020083;18032AD;96.1838285585155;S 10
2020083;10323AD;116.382197900263;S 34
2020083;18936AD;104.233220723586;S 30
2020083;15289AD;91.5816611797317;S 12
2020083;17486AD;89.5840374613933;S 41
2020083;13444AD;94.9486005395692;S 26
2020083;16370AD;84.5923972130358;S 23
2020083;18333AD;87.6399203775791;S 37
2020083;16685AD;89.35432254402;S 18
2020084;18148AD;79.4733080520894;S 28
2020084;14795AD;84.9984846077545;S 22
2020084;14154AD;99.781665852684;S 42
2020084;16167AD;81.8562144226956;S 13
2020084;12148AD;98.4053311238454;S 31
2020085;11417AD;118.405739637811;S 49
2020085;17999AD;114.934755767882;S 45
2020085;12975AD;122.460664605031;S 18
2020085;12371AD;116.44234076451;S 24
2020085;18613AD;100.838402735233;S 16
2020085;18480AD;100.745732787735;S 28
2020086;19302AD;81.8445352608012;S 47
2020086;12262AD;87.7413404116577;S 31
2020086;18169AD;89.8991866013675;S 37
2020086;12799AD;71.0005028176426;S 14
2020086;11973AD;95.7241888856556;S 34
2020086;19417AD;89.3369315118046;S 21
2020087;10097AD;110.870539639691;S 33
2020087;12009AD;115.682179088381;S 49
2020087;12039AD;127.248415301932;S 18
2020087;11887AD;126.890100134228;S 31
2020087;17825AD;106.17626507878;S 17
2020088;11063AD;80.3037496667235;S 17
2020088;12494AD;82.3692552789028;S 25
2020088;14102AD;88.8830131437836;S 26
2020088;11706AD;89.8089606211054;S 41
2020088;13424AD;99.4152116259172;S 25
2020088;14146AD;87.632073619813;S 10
2020088;14037AD;98.7932121940166;S 19
2020089;17471AD;103.164819303769;S 20
2020089;15362AD;106.679020033207;S 25
2020089;16807AD;115.046731517269;S 13
2020089;10202AD;109.576161117519;S 37
2020089;10827AD;101.744038612206;S 25
2020089;15089AD;114.797855776281;S 41
2020089;11744AD;82.6066714040272;S 40
2020089;15459AD;111.480421271143;S 21
2020090;14801AD;77.3008853383791;S 29
2020090;14368AD;38.1445307082763;S 29
2020090;11476AD;58.0158322243486;S 14
2020090;13401AD;47.5750161440883;S 47
2020090;19684AD;44.3701046556708;S 36
2020090;15936AD;53.5976778897224;S 48
2020090;13737AD;55.0111462976079;S 21
2020090;19098AD;53.2255467651396;S 34
2020091;10751AD;85.2764988136168;S 28
2020091;18884AD;111.982438065452;S 45
2020091;13993AD;71.2528518934047;S 23
2020091;11754AD;91.3073797479103;S 21
2020091;13027AD;100.254770211336;S 33
2020091;12704AD;93.4494189139131;S 47
2020091;15236AD;110.21605254494;S 21
2020091;11081AD;96.2698741146394;S 22
2020091;10099AD;91.0293603428429;S 43
2020092;14606AD;91.1111226756428;S 38
2020092;14281AD;114.444638868438;S 25
2020092;19421AD;99.4566282328412;S 36
2020092;15451AD;86.1847920197105;S 27
2020092;17260AD;99.2504091243463;S 38
2020092;14224AD;78.3634347176981;S 33
2020092;14617AD;91.7993904793065;S 40
2020092;11935AD;103.40375205275;S 33
2020093;18362AD;111.719922169835;S 20
2020093;11436AD;98.5384497268432;S 18
2020093;15439AD;86.1718111696639;S 25
2020093;14880AD;79.3269536023485;S 26
2020093;19882AD;92.2115132818742;S 41
2020093;10878AD;106.298076549235;S 22
2020094;19884AD;100.043495068552;S 22
2020094;12104AD;104.402389609933;S 41
2020094;18794AD;102.497278217818;S 30
2020095;12867AD;105.478347011239;S 19
2020095;13484AD;99.3286424116277;S 32
2020095;12510AD;98.7437232450729;S 35
2020095;13910AD;108.047711140012;S 27
2020095;11629AD;119.614699832654;S 17
2020095;10874AD;99.1325983765977;S 15
2020096;19207AD;112.319004100383;S 21
